task,precision,recall,f1,number,accuracy,language,corpus,subset,validation_duration,tokens,sentences
LOC,0.8615652173913043,0.934364390795926,0.8964893231994208,2651.0,,zh,ontonotes,VALIDATION_zh,43.364016,119229,6543
MISC,0.2878338278931751,0.7265917602996255,0.412327311370882,801.0,,zh,ontonotes,VALIDATION_zh,43.364016,119229,6543
ORG,0.7889060092449923,0.8407224958949097,0.8139904610492846,1218.0,,zh,ontonotes,VALIDATION_zh,43.364016,119229,6543
PER,0.9176187612748046,0.9555416405760802,0.9361963190184049,1597.0,,zh,ontonotes,VALIDATION_zh,43.364016,119229,6543
overall,0.7137948587426827,0.8950055848093187,0.7941946902654867,,0.9718860344379304,zh,ontonotes,VALIDATION_zh,43.364016,119229,6543
LOC,0.02106758196236241,0.01868570228847365,0.01980528511821975,9526.0,,zh,wikiann,wikiann-zh.bio,496.127899,521445,25000
MISC,0.0,0.0,0.0,0.0,,zh,wikiann,wikiann-zh.bio,496.127899,521445,25000
ORG,0.07434944237918216,0.0017576236927673784,0.0034340659340659336,11379.0,,zh,wikiann,wikiann-zh.bio,496.127899,521445,25000
PER,0.0543514504834945,0.01579610427366993,0.024478149872353205,10319.0,,zh,wikiann,wikiann-zh.bio,496.127899,521445,25000
overall,0.017148014440433214,0.011561619267230335,0.013811309204988905,,0.7117145624178964,zh,wikiann,wikiann-zh.bio,496.127899,521445,25000
LOC,0.9021852237252862,0.9439303211758302,0.922585794094174,1837.0,,en,conll,validation,83.814515,51362,3250
MISC,0.6934523809523809,0.7581344902386117,0.7243523316062176,922.0,,en,conll,validation,83.814515,51362,3250
ORG,0.9363867684478372,0.8232662192393736,0.8761904761904763,1341.0,,en,conll,validation,83.814515,51362,3250
PER,0.9448946515397083,0.9495114006514658,0.9471974004874085,1842.0,,en,conll,validation,83.814515,51362,3250
overall,0.8869127516778523,0.8895994614607876,0.8882540749453873,,0.9764222577002453,en,conll,validation,83.814515,51362,3250
LOC,0.49740932642487046,0.5303867403314917,0.5133689839572193,181.0,,en,hipe,HIPE-data-v1.4-test-en,18.605687,16634,46
MISC,0.0,0.0,0.0,19.0,,en,hipe,HIPE-data-v1.4-test-en,18.605687,16634,46
ORG,0.14285714285714285,0.19736842105263158,0.16574585635359115,76.0,,en,hipe,HIPE-data-v1.4-test-en,18.605687,16634,46
PER,0.20118343195266272,0.21794871794871795,0.2092307692307692,156.0,,en,hipe,HIPE-data-v1.4-test-en,18.605687,16634,46
overall,0.25663716814159293,0.33564814814814814,0.2908726178535607,,0.9323073223518096,en,hipe,HIPE-data-v1.4-test-en,18.605687,16634,46
LOC,0.5785123966942148,0.4666666666666667,0.5166051660516605,150.0,,en,emerging,emerging.test.annotated.conll,35.60197,23394,1287
MISC,0.056074766355140186,0.022304832713754646,0.03191489361702128,269.0,,en,emerging,emerging.test.annotated.conll,35.60197,23394,1287
ORG,0.3969465648854962,0.22510822510822512,0.287292817679558,231.0,,en,emerging,emerging.test.annotated.conll,35.60197,23394,1287
PER,0.6988416988416989,0.4219114219114219,0.5261627906976745,429.0,,en,emerging,emerging.test.annotated.conll,35.60197,23394,1287
overall,0.5,0.28637627432808155,0.3641720683559222,,0.9364794391724374,en,emerging,emerging.test.annotated.conll,35.60197,23394,1287
LOC,0.7472167648984938,0.8707707962350547,0.8042763157894738,3931.0,,en,ontonotes,VALIDATION_en,552.367377,269914,14110
MISC,0.48798602009611186,0.6310734463276836,0.5503818674550381,1770.0,,en,ontonotes,VALIDATION_en,552.367377,269914,14110
ORG,0.6813609467455621,0.6619718309859155,0.6715264615833212,3479.0,,en,ontonotes,VALIDATION_en,552.367377,269914,14110
PER,0.6129929221435794,0.9319754035357417,0.7395547422994815,2602.0,,en,ontonotes,VALIDATION_en,552.367377,269914,14110
overall,0.6524003941996339,0.7866236632150738,0.7132522702785901,,0.9656742517987211,en,ontonotes,VALIDATION_en,552.367377,269914,14110
LOC,0.2671278309485454,0.4030597655132971,0.3213084857810452,6994.0,,en,wikiann,wikiann-en.bio,498.17588,205018,25000
MISC,0.0,0.0,0.0,0.0,,en,wikiann,wikiann-en.bio,498.17588,205018,25000
ORG,0.619140625,0.19424019607843138,0.29570895522388063,16320.0,,en,wikiann,wikiann-en.bio,498.17588,205018,25000
PER,0.5842101444017125,0.7474700584903908,0.6558325187357446,10771.0,,en,wikiann,wikiann-en.bio,498.17588,205018,25000
overall,0.4471479983438963,0.41191139797564913,0.42880703683342497,,0.6878469207581773,en,wikiann,wikiann-en.bio,498.17588,205018,25000
LOC,0.40603015075376886,0.5763195435092725,0.4764150943396226,701.0,,fr,europeana,enp_FR.bnf.txt,6.62607,30030,1778
MISC,0.0,0.0,0.0,0.0,,fr,europeana,enp_FR.bnf.txt,6.62607,30030,1778
ORG,0.23943661971830985,0.09042553191489362,0.1312741312741313,188.0,,fr,europeana,enp_FR.bnf.txt,6.62607,30030,1778
PER,0.5417439703153989,0.45768025078369906,0.49617672047578587,638.0,,fr,europeana,enp_FR.bnf.txt,6.62607,30030,1778
overall,0.3467898832684825,0.466928618205632,0.3979905107451856,,0.8938727938727938,fr,europeana,enp_FR.bnf.txt,6.62607,30030,1778
LOC,0.49079754601226994,0.6557377049180327,0.5614035087719298,854.0,,fr,hipe,HIPE-data-v1.4-test-fr,2.547333,40854,43
