"corpus","lang","task","precision","recall","specificity","f1","evaluation_time","subset","language","sentences","tokens"
"ancora","es","LOC",NA,0,1,NA,7.19607663154602,"ancora-es-2.0","es",2603,81226
"ancora","es","MISC",NA,0,1,NA,7.19607663154602,"ancora-es-2.0","es",2603,81226
"ancora","es","O",0.918584377202636,1,0.0514335110214666,0.957564742127177,7.19607663154602,"ancora-es-2.0","es",2603,81226
"ancora","es","ORG",0.561643835616438,0.0677685950413223,0.998375758191001,0.12094395280236,7.19607663154602,"ancora-es-2.0","es",2603,81226
"ancora","es","PER",1,0.0277303754266212,1,0.053964300539643,7.19607663154602,"ancora-es-2.0","es",2603,81226
"ancora","ca","LOC",NA,0,1,NA,5.67907500267029,"ancora-ca-2.0","ca",2472,81195
"ancora","ca","MISC",NA,0,1,NA,5.67907500267029,"ancora-ca-2.0","ca",2472,81195
"ancora","ca","O",0.897449515222627,0.999986237837689,0.026840131270511,0.945947353347046,5.67907500267029,"ancora-ca-2.0","ca",2472,81195
"ancora","ca","ORG",0.584615384615385,0.0366088631984586,0.998962615745188,0.0689029918404352,5.67907500267029,"ancora-ca-2.0","ca",2472,81195
"ancora","ca","PER",1,0.0174302788844621,1,0.0342633382280959,5.67907500267029,"ancora-ca-2.0","ca",2472,81195
"conll","de","LOC",NA,0,1,NA,5.44095492362976,"deu.testb","de",3005,51943
"conll","de","MISC",NA,0,1,NA,5.44095492362976,"deu.testb","de",3005,51943
"conll","de","O",0.916909592849283,0.999326698508216,0.0253623188405797,0.956345770493124,5.44095492362976,"deu.testb","de",3005,51943
"conll","de","ORG",0.485294117647059,0.0656716417910448,0.998625780360438,0.115687992988606,5.44095492362976,"deu.testb","de",3005,51943
"conll","de","PER",0.125,0.000543478260869565,0.999860287807117,0.00108225108225108,5.44095492362976,"deu.testb","de",3005,51943
"conll","en","LOC",NA,0,1,NA,5.89005279541016,"validation","en",3250,51362
"conll","en","MISC",NA,0,1,NA,5.89005279541016,"validation","en",3250,51362
"conll","en","O",0.842983684823137,0.999321780210014,0.0748576078112286,0.914519304854036,5.89005279541016,"validation","en",3250,51362
"conll","en","ORG",0.20873786407767,0.0616634799235182,0.99007509640755,0.0952029520295203,5.89005279541016,"validation","en",3250,51362
"conll","en","PER",0.981818181818182,0.0171483010479517,0.999979258706158,0.0337078651685393,5.89005279541016,"validation","en",3250,51362
"conll","es","LOC",NA,0,1,NA,5.80748295783997,"esp.testb.txt","es",1517,51533
"conll","es","MISC",NA,0,1,NA,5.80748295783997,"esp.testb.txt","es",1517,51533
"conll","es","O",0.884949362889535,0.999911806857017,0.045645840077695,0.938924659944929,5.80748295783997,"esp.testb.txt","es",1517,51533
"conll","es","ORG",0.540983606557377,0.0527156549520767,0.99771563768382,0.0960698689956332,5.80748295783997,"esp.testb.txt","es",1517,51533
"conll","es","PER",1,0.0306793279766253,1,0.0595322466335932,5.80748295783997,"esp.testb.txt","es",1517,51533
"conll","nl","LOC",NA,0,1,NA,5.92055749893188,"ned.testb.txt","nl",5195,68875
"conll","nl","MISC",NA,0,1,NA,5.92055749893188,"ned.testb.txt","nl",5195,68875
"conll","nl","O",0.918613282102781,1,0.028829454671761,0.957580446952801,5.92055749893188,"ned.testb.txt","nl",5195,68875
"conll","nl","ORG",0.509615384615385,0.0369853454291696,0.999243794668011,0.0689655172413793,5.92055749893188,"ned.testb.txt","nl",5195,68875
"conll","nl","PER",1,0.0325459317585302,1,0.0630401626842908,5.92055749893188,"ned.testb.txt","nl",5195,68875
"europeana","de","LOC",NA,0,1,NA,5.61791110038757,"enp_DE.onb.txt","de",3,11223
"europeana","de","O",0.814284435693189,0.999340949033392,0.0207645115620576,0.897371406026533,5.61791110038757,"enp_DE.onb.txt","de",3,11223
"europeana","de","ORG",0.0869565217391304,0.0930232558139535,0.996243291592129,0.0898876404494382,5.61791110038757,"enp_DE.onb.txt","de",3,11223
"europeana","de","PER",1,0.00294985250737463,1,0.00588235294117647,5.61791110038757,"enp_DE.onb.txt","de",3,11223
"europeana","fr","LOC",NA,0,1,NA,5.66568088531494,"enp_FR.bnf.txt","fr",1778,30030
"europeana","fr","O",0.930555091401263,0.998995443619273,0.0366249420491423,0.963561492144785,5.66568088531494,"enp_FR.bnf.txt","fr",1778,30030
"europeana","fr","ORG",0.0380952380952381,0.0111111111111111,0.99659588810246,0.0172043010752688,5.66568088531494,"enp_FR.bnf.txt","fr",1778,30030
