"corpus","lang","task","precision","recall","specificity","f1","evaluation_time","subset","language","sentences","tokens"
"ancora","es","LOC",NA,0,1,NA,49.3275716304779,"ancora-es-2.0","es",2603,81226
"ancora","es","MISC",NA,0,1,NA,49.3275716304779,"ancora-es-2.0","es",2603,81226
"ancora","es","O",0.936208570239911,0.999676919970384,0.270998415213946,0.966902334544223,49.3275716304779,"ancora-es-2.0","es",2603,81226
"ancora","es","ORG",0.820838627700127,0.266942148760331,0.998210796132274,0.402868724664796,49.3275716304779,"ancora-es-2.0","es",2603,81226
"ancora","es","PER",0.976744186046512,0.465870307167235,0.999670393752694,0.630849220103986,49.3275716304779,"ancora-es-2.0","es",2603,81226
"ancora","ca","LOC",NA,0,1,NA,45.3020477294922,"ancora-ca-2.0","ca",2472,81195
"ancora","ca","MISC",NA,0,1,NA,45.3020477294922,"ancora-ca-2.0","ca",2472,81195
"ancora","ca","O",0.910176264986282,0.999862378376891,0.159634317862166,0.952913710111092,45.3020477294922,"ancora-ca-2.0","ca",2472,81195
"ancora","ca","ORG",0.88622754491018,0.142581888246628,0.999269988857725,0.245643153526971,45.3020477294922,"ancora-ca-2.0","ca",2472,81195
"ancora","ca","PER",0.91044776119403,0.3949203187251,0.99901498983419,0.550885724209795,45.3020477294922,"ancora-ca-2.0","ca",2472,81195
"conll","de","LOC",NA,0,1,NA,45.6056926250458,"deu.testb","de",3005,51943
"conll","de","MISC",NA,0,1,NA,45.6056926250458,"deu.testb","de",3005,51943
"conll","de","O",0.923612868069206,0.998548193658342,0.111186594202899,0.959619856435143,45.6056926250458,"deu.testb","de",3005,51943
"conll","de","ORG",0.644736842105263,0.146268656716418,0.998409831559936,0.238442822384428,45.6056926250458,"deu.testb","de",3005,51943
"conll","de","PER",0.966867469879518,0.17445652173913,0.999780452268327,0.295580110497238,45.6056926250458,"deu.testb","de",3005,51943
"conll","en","LOC",NA,0,1,NA,44.4705305099487,"validation","en",3250,51362
"conll","en","MISC",NA,0,1,NA,44.4705305099487,"validation","en",3250,51362
"conll","en","O",0.868578401464308,0.998807268645198,0.248866674415901,0.929151845445942,44.4705305099487,"validation","en",3250,51362
"conll","en","ORG",0.648854961832061,0.243785850860421,0.99439821392328,0.354412786657401,44.4705305099487,"validation","en",3250,51362
"conll","en","PER",0.97724039829303,0.436328993331216,0.999336278597059,0.603293084522503,44.4705305099487,"validation","en",3250,51362
"conll","es","LOC",NA,0,1,NA,42.9670197963715,"esp.testb.txt","es",1517,51533
"conll","es","MISC",NA,0,1,NA,42.9670197963715,"esp.testb.txt","es",1517,51533
"conll","es","O",0.905678844655734,0.999691323999559,0.235674975720298,0.950365759081096,42.9670197963715,"esp.testb.txt","es",1517,51533
"conll","es","ORG",0.867469879518072,0.258785942492013,0.997980786881234,0.398646570286066,42.9670197963715,"esp.testb.txt","es",1517,51533
"conll","es","PER",0.930843706777317,0.491599707815924,0.999003269276772,0.6434034416826,42.9670197963715,"esp.testb.txt","es",1517,51533
"conll","nl","LOC",NA,0,1,NA,43.145441532135,"ned.testb.txt","nl",5195,68875
"conll","nl","MISC",NA,0,1,NA,43.145441532135,"ned.testb.txt","nl",5195,68875
"conll","nl","O",0.932288512385707,0.999968312815882,0.203890239666551,0.964943126223092,43.145441532135,"ned.testb.txt","nl",5195,68875
"conll","nl","ORG",0.641025641025641,0.157013258897418,0.998131728003321,0.252242152466368,43.145441532135,"ned.testb.txt","nl",5195,68875
"conll","nl","PER",0.95030303030303,0.411548556430446,0.999387785575631,0.574358974358974,43.145441532135,"ned.testb.txt","nl",5195,68875
"europeana","de","LOC",NA,0,1,NA,47.876410484314,"enp_DE.onb.txt","de",3,11223
"europeana","de","O",0.816540948275862,0.998791739894552,0.0358659745162813,0.898517786561265,47.876410484314,"enp_DE.onb.txt","de",3,11223
