task,precision,recall,f1,number,accuracy,corpus,subset,language,sentences,tokens,evaluation_time
LOC,0.9550056242969629,0.9243331518780621,0.9394190871369295,1837.0,,conll,validation,en,3250,51362,0.5377967357635498
MISC,0.8915211970074813,0.7754880694143167,0.8294663573085846,922.0,,conll,validation,en,3250,51362,0.5377967357635498
ORG,0.8811802232854864,0.8240119313944817,0.8516377649325626,1341.0,,conll,validation,en,3250,51362,0.5377967357635498
PER,0.9276848354020507,0.9332247557003257,0.930446549391069,1842.0,,conll,validation,en,3250,51362,0.5377967357635498
overall,0.9208721645858977,0.8813530797711209,0.9006793361424026,,0.9784471009695884,conll,validation,en,3250,51362,0.5377967357635498
LOC,0.6112064036592338,0.6022050539192016,0.6066723418055049,12426.0,,wikiann,wikiann-cs.bio,cs,25000,216379,1.4101173877716064
MISC,0.0,0.0,0.0,0.0,,wikiann,wikiann-cs.bio,cs,25000,216379,1.4101173877716064
ORG,0.5861019528277961,0.22552942324582806,0.3257223396758281,10247.0,,wikiann,wikiann-cs.bio,cs,25000,216379,1.4101173877716064
PER,0.6334426781058121,0.5696671709531014,0.5998645903859174,13220.0,,wikiann,wikiann-cs.bio,cs,25000,216379,1.4101173877716064
overall,0.582509582408715,0.4826846460312596,0.5279195551154111,,0.8015796357317485,wikiann,wikiann-cs.bio,cs,25000,216379,1.4101173877716064
LOC,0.15406976744186046,0.35333333333333333,0.2145748987854251,150.0,,emerging,emerging.test.annotated.conll,en,1287,23394,0.2194957733154297
MISC,0.08,0.022304832713754646,0.03488372093023256,269.0,,emerging,emerging.test.annotated.conll,en,1287,23394,0.2194957733154297
ORG,0.13243243243243244,0.21212121212121213,0.16306156405990016,231.0,,emerging,emerging.test.annotated.conll,en,1287,23394,0.2194957733154297
PER,0.4144144144144144,0.32167832167832167,0.3622047244094488,429.0,,emerging,emerging.test.annotated.conll,en,1287,23394,0.2194957733154297
overall,0.2192513368983957,0.22798887859128822,0.22353475692866875,,0.9086517910575361,emerging,emerging.test.annotated.conll,en,1287,23394,0.2194957733154297
LOC,0.737457379444715,0.7702874586619181,0.7535149931566505,3931.0,,ontonotes,VALIDATION_en,en,14110,269914,2.533851623535156
MISC,0.6208100558659218,0.5022598870056497,0.5552779512804497,1770.0,,ontonotes,VALIDATION_en,en,14110,269914,2.533851623535156
ORG,0.4685174585002862,0.47053751077895944,0.46952531191739566,3479.0,,ontonotes,VALIDATION_en,en,14110,269914,2.533851623535156
PER,0.3731060606060606,0.6056879323597233,0.4617638441254029,2602.0,,ontonotes,VALIDATION_en,en,14110,269914,2.533851623535156
overall,0.537869643934822,0.605160414191139,0.5695343078520648,,0.9523959483391006,ontonotes,VALIDATION_en,en,14110,269914,2.533851623535156
LOC,0.29075175770686856,0.3843294252216185,0.3310548679105856,6994.0,,wikiann,wikiann-en.bio,en,25000,205018,2.2652130126953125
MISC,0.0,0.0,0.0,0.0,,wikiann,wikiann-en.bio,en,25000,205018,2.2652130126953125
ORG,0.37075346365534256,0.23939950980392158,0.29093752327053396,16320.0,,wikiann,wikiann-en.bio,en,25000,205018,2.2652130126953125
PER,0.496729033102185,0.7049484727509052,0.5827992478028937,10771.0,,wikiann,wikiann-en.bio,en,25000,205018,2.2652130126953125
overall,0.3852398924760379,0.4162534839372158,0.40014665651352344,,0.6957291554887863,wikiann,wikiann-en.bio,en,25000,205018,2.2652130126953125
LOC,0.7152317880794702,0.5552699228791774,0.6251808972503619,389.0,,cnec2.0,named_ent_etest,cs,899,20146,0.1458737850189209
MISC,0.723404255319149,0.29259896729776247,0.41666666666666663,581.0,,cnec2.0,named_ent_etest,cs,899,20146,0.1458737850189209
ORG,0.6923076923076923,0.2735562310030395,0.39215686274509803,329.0,,cnec2.0,named_ent_etest,cs,899,20146,0.1458737850189209
PER,0.7777777777777778,0.5495327102803739,0.6440306681270537,535.0,,cnec2.0,named_ent_etest,cs,899,20146,0.1458737850189209
overall,0.7368421052631579,0.4198473282442748,0.5349079541507468,,0.898689566166981,cnec2.0,named_ent_etest,cs,899,20146,0.1458737850189209
LOC,0.5428571428571428,0.4198895027624309,0.47352024922118385,181.0,,hipe,HIPE-data-v1.4-test-en,en,46,16634,0.1450440883636474
MISC,0.031914893617021274,0.15789473684210525,0.053097345132743355,19.0,,hipe,HIPE-data-v1.4-test-en,en,46,16634,0.1450440883636474
ORG,0.12837837837837837,0.25,0.16964285714285712,76.0,,hipe,HIPE-data-v1.4-test-en,en,46,16634,0.1450440883636474
PER,0.19298245614035087,0.21153846153846154,0.2018348623853211,156.0,,hipe,HIPE-data-v1.4-test-en,en,46,16634,0.1450440883636474
overall,0.23688969258589512,0.30324074074074076,0.2659898477157361,,0.9261753035950463,hipe,HIPE-data-v1.4-test-en,en,46,16634,0.1450440883636474
