task,precision,recall,f1,number,accuracy,language,corpus,subset,validation_duration,tokens,sentences
LOC,0.5412451361867704,0.7572128470332063,0.6312684365781711,1837.0,,en,conll,validation,5.097799,51362,3250
MISC,0.0,0.0,0.0,922.0,,en,conll,validation,5.097799,51362,3250
ORG,0.32754126846220677,0.28113348247576436,0.3025682182985554,1341.0,,en,conll,validation,5.097799,51362,3250
PER,0.6397096941420425,0.6699239956568946,0.654468310792893,1842.0,,en,conll,validation,5.097799,51362,3250
overall,0.5313274336283186,0.5052170986199933,0.5179434092477572,,0.910400685331568,en,conll,validation,5.097799,51362,3250
LOC,0.33175355450236965,0.3867403314917127,0.3571428571428571,181.0,,en,hipe,HIPE-data-v1.4-test-en,1.537898,16634,46
MISC,0.0,0.0,0.0,19.0,,en,hipe,HIPE-data-v1.4-test-en,1.537898,16634,46
ORG,0.05555555555555555,0.18421052631578946,0.08536585365853659,76.0,,en,hipe,HIPE-data-v1.4-test-en,1.537898,16634,46
PER,0.125,0.25,0.16666666666666666,156.0,,en,hipe,HIPE-data-v1.4-test-en,1.537898,16634,46
overall,0.15870967741935485,0.2847222222222222,0.20381110190555096,,0.9203438739930263,en,hipe,HIPE-data-v1.4-test-en,1.537898,16634,46
LOC,0.1643835616438356,0.32,0.21719457013574658,150.0,,en,emerging,emerging.test.annotated.conll,2.246375,23394,1287
MISC,0.0,0.0,0.0,269.0,,en,emerging,emerging.test.annotated.conll,2.246375,23394,1287
ORG,0.16230366492146597,0.2683982683982684,0.20228384991843396,231.0,,en,emerging,emerging.test.annotated.conll,2.246375,23394,1287
PER,0.33705357142857145,0.351981351981352,0.3443557582668187,429.0,,en,emerging,emerging.test.annotated.conll,2.246375,23394,1287
overall,0.232620320855615,0.24189063948100092,0.23716492503407544,,0.9159186116098145,en,emerging,emerging.test.annotated.conll,2.246375,23394,1287
LOC,0.4536624203821656,0.724751971508522,0.5580256586034669,3931.0,,en,ontonotes,VALIDATION_en,25.556806,269914,14110
MISC,0.0,0.0,0.0,1770.0,,en,ontonotes,VALIDATION_en,25.556806,269914,14110
ORG,0.307813319349764,0.33745329117562517,0.3219525572466749,3479.0,,en,ontonotes,VALIDATION_en,25.556806,269914,14110
PER,0.2541612118945203,0.5222905457340508,0.3419298024908794,2602.0,,en,ontonotes,VALIDATION_en,25.556806,269914,14110
overall,0.34855255488634157,0.456798506195892,0.3954009477280241,,0.9376023474143617,en,ontonotes,VALIDATION_en,25.556806,269914,14110
LOC,0.1736385762093094,0.3264226479839863,0.22669049746797734,6994.0,,en,wikiann,wikiann-en.bio,20.99558,205018,25000
ORG,0.14746366349023005,0.09387254901960784,0.11471788535699577,16320.0,,en,wikiann,wikiann-en.bio,20.99558,205018,25000
PER,0.22244636882503444,0.4197381858694643,0.29078630004823924,10771.0,,en,wikiann,wikiann-en.bio,20.99558,205018,25000
overall,0.1900549463076537,0.24456505794337685,0.2138916685910759,,0.6236184139929177,en,wikiann,wikiann-en.bio,20.99558,205018,25000
