task,precision,recall,f1,number,accuracy,language,corpus,subset,validation_duration,tokens,sentences
LOC,0.8484848484848485,0.5334784975503538,0.6550802139037433,1837.0,,en,conll,validation,3.440273,51362,3250
MISC,0.0,0.0,0.0,922.0,,en,conll,validation,3.440273,51362,3250
ORG,0.5180722891566265,0.19239373601789708,0.2805872756933116,1341.0,,en,conll,validation,3.440273,51362,3250
PER,0.8624390243902439,0.4799131378935939,0.6166724799441925,1842.0,,en,conll,validation,3.440273,51362,3250
overall,0.7923823749066468,0.35711881521373273,0.49234338747099765,,0.8942992874109263,en,conll,validation,3.440273,51362,3250
LOC,0.5882352941176471,0.3867403314917127,0.4666666666666667,181.0,,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
MISC,0.0,0.0,0.0,19.0,,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
ORG,0.11764705882352941,0.15789473684210525,0.13483146067415733,76.0,,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
PER,0.26785714285714285,0.19230769230769232,0.22388059701492538,156.0,,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
overall,0.33633633633633636,0.25925925925925924,0.29281045751633983,,0.9338703859564746,en,hipe,HIPE-data-v1.4-test-en,2.781453,16634,46
LOC,0.5735294117647058,0.26,0.3577981651376147,150.0,,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
MISC,0.0,0.0,0.0,269.0,,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
ORG,0.19696969696969696,0.11255411255411256,0.14325068870523414,231.0,,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
PER,0.4396551724137931,0.11888111888111888,0.18715596330275228,429.0,,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
overall,0.3670886075949367,0.10750695088044486,0.1663082437275986,,0.9262203983927503,en,emerging,emerging.test.annotated.conll,2.281318,23394,1287
LOC,0.766743648960739,0.591198168404986,0.6676242459063487,3931.0,,en,ontonotes,VALIDATION_en,9.176508,269914,14110
MISC,0.0,0.0,0.0,1770.0,,en,ontonotes,VALIDATION_en,9.176508,269914,14110
ORG,0.47411444141689374,0.4001149755676919,0.4339828526890101,3479.0,,en,ontonotes,VALIDATION_en,9.176508,269914,14110
PER,0.4692492012779553,0.451575710991545,0.4602428515471994,2602.0,,en,ontonotes,VALIDATION_en,9.176508,269914,14110
overall,0.5773816550584346,0.41512476659310815,0.48299017429516616,,0.9495839415517535,en,ontonotes,VALIDATION_en,9.176508,269914,14110
LOC,0.2848180677540778,0.2596511295396054,0.2716529543754675,6994.0,,en,wikiann,wikiann-en.bio,7.556073,205018,25000
ORG,0.36835420068953,0.12438725490196079,0.1859740735651138,16320.0,,en,wikiann,wikiann-en.bio,7.556073,205018,25000
PER,0.5364180729450191,0.4574319933153839,0.4937863299258368,10771.0,,en,wikiann,wikiann-en.bio,7.556073,205018,25000
overall,0.41633447228549736,0.25738594689746225,0.31811012201533806,,0.6338662946668098,en,wikiann,wikiann-en.bio,7.556073,205018,25000
LOC,0.8791208791208791,0.5167958656330749,0.6509357200976403,774.0,,nl,conll,ned.testb.txt,4.56344,68875,5195
MISC,0.8458904109589042,0.4161752316764954,0.5578769057029926,1187.0,,nl,conll,ned.testb.txt,4.56344,68875,5195
ORG,0.7709923664122137,0.4580498866213152,0.5746799431009957,882.0,,nl,conll,ned.testb.txt,4.56344,68875,5195
PER,0.851581508515815,0.6375227686703097,0.7291666666666666,1098.0,,nl,conll,ned.testb.txt,4.56344,68875,5195
overall,0.8377358490566038,0.5069779243846739,0.6316787859626937,,0.9592304900181489,nl,conll,ned.testb.txt,4.56344,68875,5195
