task,precision,recall,f1,number,accuracy,validation_corpus,validation_duration,language,corpus,subset,tokens,sentences,model_id,model_languages,model_corpora
LOC,0.8780487804878049,0.8734426229508196,0.8757396449704142,1525.0,,ner_study/corpora/ancora/ancora_es_validation.feather,40.511059,es,ancora,ancora-es-2.0,81226,2603,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.7918313570487484,0.7856209150326797,0.7887139107611548,765.0,,ner_study/corpora/ancora/ancora_es_validation.feather,40.511059,es,ancora,ancora-es-2.0,81226,2603,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.9005343197698314,0.9098837209302325,0.9051848791571988,2408.0,,ner_study/corpora/ancora/ancora_es_validation.feather,40.511059,es,ancora,ancora-es-2.0,81226,2603,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9616639477977161,0.9624489795918367,0.9620563035495716,2450.0,,ner_study/corpora/ancora/ancora_es_validation.feather,40.511059,es,ancora,ancora-es-2.0,81226,2603,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.9051808406647116,0.9068270844991606,0.9060032147599414,,0.9900923009303347,ner_study/corpora/ancora/ancora_es_validation.feather,40.511059,es,ancora,ancora-es-2.0,81226,2603,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
LOC,0.911988582302569,0.9012693935119888,0.9065973043272642,2127.0,,ner_study/corpora/ancora/ancora_ca_validation.feather,41.150347,ca,ancora,ancora-ca-2.0,81195,2472,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
MISC,0.8213058419243986,0.7635782747603834,0.7913907284768212,939.0,,ner_study/corpora/ancora/ancora_ca_validation.feather,41.150347,ca,ancora,ancora-ca-2.0,81195,2472,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
ORG,0.8970051132213295,0.9274924471299094,0.9119940586706277,2648.0,,ner_study/corpora/ancora/ancora_ca_validation.feather,41.150347,ca,ancora,ancora-ca-2.0,81195,2472,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
PER,0.9466737064413939,0.9496822033898306,0.9481755684822847,1888.0,,ner_study/corpora/ancora/ancora_ca_validation.feather,41.150347,ca,ancora,ancora-ca-2.0,81195,2472,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
overall,0.9048245037465492,0.9054196264141016,0.90512196725623,,0.9888074406873177,ner_study/corpora/ancora/ancora_ca_validation.feather,41.150347,ca,ancora,ancora-ca-2.0,81195,2472,32872,"ar, ca, cs, de, en, es, fi, fr, hu, it, nl, pt, zh","ancora, aqmar, cnec2.0, conll, emerging, europeana, finer, germeval2014, harem, hipe, kind, nerkor, ontonotes, sonar"
